STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
CHARLEVILLE-AERO,044021,-26.42,146.25,r1i1p1,rcp26,CESM1-CAM5,2020-2039,47.83,45.02,51.78,57.32,37.04,45.11,50.44,42.72,52.38,46.65,52.15,56.55,63.94,59.01,49.01,37.91,36.24,36.96,40.43
COBAR-MO,048027,-31.49,145.83,r1i1p1,rcp26,CESM1-CAM5,2020-2039,56.76,46.41,62.05,71.15,47.32,49.84,63.70,44.92,54.67,55.85,60.17,70.13,75.56,74.11,63.78,53.22,45.42,43.31,39.99
COFFS-HARBOUR-MO,059040,-30.31,153.12,r1i1p1,rcp26,CESM1-CAM5,2020-2039,66.65,70.99,71.88,65.32,58.42,70.41,62.90,70.68,75.21,74.64,70.33,70.65,70.60,66.25,59.11,53.78,57.01,64.49,67.03
DARWIN-AIRPORT,014015,-12.42,130.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,70.40,80.32,72.15,59.96,69.24,77.09,63.75,81.18,82.79,80.08,72.13,64.25,55.22,61.47,63.18,69.03,69.33,69.35,76.84
DUBBO-AIRPORT-AWS,065070,-32.22,148.58,r1i1p1,rcp26,CESM1-CAM5,2020-2039,69.29,60.28,71.48,83.43,61.73,62.12,76.54,59.31,68.32,66.42,69.20,78.82,85.01,86.81,78.09,70.39,58.83,55.54,53.54
EAST-SALE-AIRPORT,085072,-38.12,147.13,r1i1p1,rcp26,CESM1-CAM5,2020-2039,77.67,72.90,82.50,82.90,72.32,75.48,79.84,72.03,78.63,81.64,80.96,84.89,84.27,84.37,80.05,75.30,70.17,71.47,68.21
ESPERANCE,009789,-33.83,121.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,64.99,58.03,66.75,73.62,61.76,59.81,70.30,57.13,59.60,61.45,66.59,72.20,74.97,74.44,71.46,67.58,61.14,56.55,56.77
GERALDTON-AIRPORT-COMPARISON,008051,-28.8,114.7,r1i1p1,rcp26,CESM1-CAM5,2020-2039,58.30,47.47,56.75,74.32,54.78,49.08,67.63,48.63,46.44,50.43,55.32,64.49,72.05,75.63,75.28,66.10,52.21,46.02,47.06
HOBART-ELLERSLIE-ROAD,094029,-42.89,147.33,r1i1p1,rcp26,CESM1-CAM5,2020-2039,68.20,62.29,71.43,75.75,63.34,64.52,71.92,62.64,64.39,68.59,70.20,75.51,77.76,77.50,72.00,65.47,63.28,61.27,59.76
KALGOORLIE-BOULDER-AIRPORT,012038,-30.78,121.45,r1i1p1,rcp26,CESM1-CAM5,2020-2039,52.26,43.45,55.66,65.87,44.05,44.94,59.43,41.67,48.78,49.12,51.82,65.08,68.46,67.62,61.54,51.75,42.14,38.25,39.54
LAUNCESTON-AIRPORT-COMPARISON,091104,-41.54,147.2,r1i1p1,rcp26,CESM1-CAM5,2020-2039,77.62,68.23,80.43,87.99,73.91,71.27,84.02,68.69,71.55,74.66,79.00,87.63,88.63,90.25,85.11,77.66,74.82,69.24,64.26
LAVERTON-RAAF,087031,-37.86,144.76,r1i1p1,rcp26,CESM1-CAM5,2020-2039,72.72,66.36,75.78,80.58,68.10,68.51,76.89,65.63,70.10,72.48,73.72,81.13,81.64,82.60,77.48,72.21,66.25,65.84,63.56
MACKAY-M.O,033119,-21.12,149.22,r1i1p1,rcp26,CESM1-CAM5,2020-2039,73.06,73.96,77.41,74.40,66.53,74.05,72.11,72.97,78.23,74.98,79.61,77.62,76.17,73.03,74.01,65.12,66.71,67.75,70.57
MEEKATHARRA-AIRPORT,007045,-26.61,118.54,r1i1p1,rcp26,CESM1-CAM5,2020-2039,38.80,29.96,41.51,53.80,29.64,31.79,45.67,26.39,37.00,36.00,41.21,47.32,55.73,57.55,48.10,37.28,28.03,23.61,26.64
MELBOURNE-AIRPORT,086282,-37.68,144.84,r1i1p1,rcp26,CESM1-CAM5,2020-2039,71.02,65.01,73.83,78.19,66.98,67.18,74.83,64.32,69.07,71.53,71.28,78.67,79.75,79.99,74.83,70.62,65.13,65.19,61.90
MILDURA-AIRPORT,076031,-34.23,142.08,r1i1p1,rcp26,CESM1-CAM5,2020-2039,64.31,52.31,69.28,79.13,56.46,56.10,72.55,52.61,57.71,61.80,66.01,80.03,82.43,81.37,73.58,64.46,53.42,51.49,46.76
MOREE-AERO,053115,-29.49,149.85,r1i1p1,rcp26,CESM1-CAM5,2020-2039,60.88,59.30,62.08,70.19,51.80,58.09,63.68,58.24,65.49,60.18,59.90,66.17,73.13,72.87,64.58,55.56,49.77,50.07,54.58
MOUNT-GAMBIER-AERO,026021,-37.75,140.77,r1i1p1,rcp26,CESM1-CAM5,2020-2039,74.64,65.47,77.68,85.18,70.29,68.44,80.89,63.90,67.58,72.36,75.19,85.48,87.27,87.07,81.19,75.20,69.10,66.57,64.73
MOUNT-ISA-AERO,029127,-20.68,139.49,r1i1p1,rcp26,CESM1-CAM5,2020-2039,41.16,50.31,43.89,39.76,30.52,45.46,36.75,49.68,57.06,46.34,42.23,43.10,44.02,39.50,35.76,28.66,29.48,33.42,44.73
NOWRA-RAN-AIR-STATION-AWS,068072,-34.95,150.54,r1i1p1,rcp26,CESM1-CAM5,2020-2039,70.51,73.92,74.28,70.64,62.95,73.13,67.92,73.44,80.12,75.79,72.68,74.38,72.73,72.88,66.31,60.68,59.93,68.08,68.40
PERTH-AIRPORT,009021,-31.93,115.98,r1i1p1,rcp26,CESM1-CAM5,2020-2039,61.33,46.21,62.03,78.26,58.98,50.60,72.20,46.06,45.51,54.35,60.79,70.96,77.88,79.51,77.38,68.14,59.33,49.47,46.59
PORT-HEDLAND-AIRPORT,004032,-20.37,118.63,r1i1p1,rcp26,CESM1-CAM5,2020-2039,40.48,53.00,39.88,35.76,33.42,46.06,35.02,54.47,58.15,46.90,35.28,37.45,37.21,37.20,32.87,32.29,33.12,34.84,45.96
RICHMOND-RAAF,067105,-33.6,150.78,r1i1p1,rcp26,CESM1-CAM5,2020-2039,74.31,74.95,80.25,78.50,63.54,75.19,73.55,74.45,81.13,79.76,78.80,82.19,82.65,80.92,71.95,63.62,59.95,67.05,69.23
ROCKHAMPTON-AERO,039083,-23.38,150.48,r1i1p1,rcp26,CESM1-CAM5,2020-2039,66.16,68.82,69.42,67.14,59.45,67.66,64.80,67.69,72.26,68.22,70.94,69.09,70.04,65.44,65.92,58.41,59.87,60.05,65.99
SYDNEY-AIRPORT-AMO,066037,-33.94,151.17,r1i1p1,rcp26,CESM1-CAM5,2020-2039,67.91,71.25,72.22,67.49,60.64,70.62,65.24,71.08,75.78,73.09,71.62,71.95,70.40,69.02,63.05,58.69,58.35,64.87,67.01
TENNANT-CREEK-AIRPORT,015135,-19.64,134.18,r1i1p1,rcp26,CESM1-CAM5,2020-2039,37.54,48.53,37.94,34.30,29.40,42.21,32.86,47.48,53.80,40.41,34.81,38.60,37.89,35.42,29.61,26.11,29.55,32.55,44.22
TOWNSVILLE-AERO,032040,-19.25,146.77,r1i1p1,rcp26,CESM1-CAM5,2020-2039,64.77,69.83,66.35,62.59,60.27,67.73,61.79,68.30,73.79,67.42,66.39,65.23,63.21,62.28,62.29,57.06,60.69,63.06,67.58
WAGGA-WAGGA-AMO,072150,-35.16,147.46,r1i1p1,rcp26,CESM1-CAM5,2020-2039,68.35,54.17,69.51,83.85,65.75,58.30,78.32,51.99,60.66,62.37,67.10,79.06,85.16,86.58,79.82,75.26,64.05,57.96,50.25
WILLIAMTOWN-RAAF,061078,-32.79,151.84,r1i1p1,rcp26,CESM1-CAM5,2020-2039,73.13,74.00,78.74,75.58,64.22,74.32,72.02,73.17,79.51,78.91,77.39,79.91,78.89,77.00,70.85,64.07,61.41,67.18,69.32
WOOMERA-AERODROME,016001,-31.16,136.81,r1i1p1,rcp26,CESM1-CAM5,2020-2039,51.87,43.42,54.20,66.38,43.45,45.47,58.34,43.25,44.72,47.74,51.39,63.45,69.64,68.74,60.75,47.26,40.22,42.88,42.43
ADELAIDE-KENT-TOWN,023090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2040-2059,62.73,53.03,64.12,76.36,57.37,55.69,69.77,51.35,54.54,60.77,60.54,71.04,78.89,78.55,71.65,61.69,56.80,53.62,53.34
ALBANY-AIRPORT-COMPARISON,009741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2040-2059,72.99,63.22,75.56,82.32,70.91,67.08,78.96,63.08,63.92,69.46,76.77,80.46,84.02,82.92,80.04,75.66,70.70,66.36,62.48
ALICE-SPRINGS-AIRPORT,015590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2040-2059,39.67,31.58,44.35,53.39,29.54,33.51,45.91,28.11,33.70,35.94,41.87,55.23,62.21,55.85,42.11,31.05,29.03,28.55,32.43
AMBERLEY-AMO,040004,-27.63,152.71,r1i1p1,rcp26,CESM1-CAM5,2040-2059,66.90,65.14,71.89,72.64,57.93,65.52,68.30,64.53,68.68,68.09,70.87,76.70,78.42,72.90,66.59,58.84,56.37,58.59,62.15
BRISBANE-AERO,040842,-27.39,153.13,r1i1p1,rcp26,CESM1-CAM5,2040-2059,65.33,65.45,70.12,66.57,59.16,65.99,64.65,64.72,68.48,68.77,70.01,71.56,70.63,66.80,62.30,58.23,58.40,60.84,63.27
BROOME-AIRPORT,003003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2040-2059,55.10,69.01,54.98,43.73,52.69,64.45,45.77,69.77,72.24,69.49,53.25,42.19,42.99,42.24,45.97,47.79,53.41,56.86,65.00
CAIRNS-AERO,031011,-16.87,145.75,r1i1p1,rcp26,CESM1-CAM5,2040-2059,72.72,75.74,76.91,71.44,66.73,75.10,70.35,74.97,79.39,76.41,77.83,76.50,73.69,71.45,69.19,65.55,65.74,68.91,72.98
CANBERRA-AIRPORT-COMPARISON,070014,-35.3,149.2,r1i1p1,rcp26,CESM1-CAM5,2040-2059,72.31,65.73,76.13,81.58,65.69,68.03,76.55,64.21,71.56,73.07,73.77,81.54,84.90,83.87,75.96,70.35,62.69,64.04,61.80
CARNARVON-AIRPORT,006011,-24.89,113.67,r1i1p1,rcp26,CESM1-CAM5,2040-2059,57.09,56.45,56.48,63.55,51.89,55.74,58.45,57.42,56.82,56.94,55.69,56.80,63.86,66.72,60.07,52.70,50.57,52.41,55.12
CEDUNA-AMO,018012,-32.13,133.7,r1i1p1,rcp26,CESM1-CAM5,2040-2059,62.95,57.62,65.16,74.50,54.60,58.54,67.48,54.11,63.80,64.75,61.02,69.70,75.63,76.29,71.59,59.68,52.00,52.14,54.70
CHARLEVILLE-AERO,044021,-26.42,146.25,r1i1p1,rcp26,CESM1-CAM5,2040-2059,47.99,44.07,51.81,58.45,37.45,44.35,51.51,41.57,50.72,45.37,50.11,59.97,65.13,61.16,49.07,38.73,35.01,38.63,40.38
COBAR-MO,048027,-31.49,145.83,r1i1p1,rcp26,CESM1-CAM5,2040-2059,55.80,43.47,60.68,72.08,46.86,47.41,64.20,40.46,50.19,55.70,56.06,70.28,76.17,75.67,64.40,53.79,44.92,41.88,40.09
COFFS-HARBOUR-MO,059040,-30.31,153.12,r1i1p1,rcp26,CESM1-CAM5,2040-2059,66.72,70.66,72.13,65.28,58.84,70.27,63.18,70.70,74.35,74.80,70.14,71.45,70.42,66.48,58.93,55.21,56.58,64.74,66.87
DARWIN-AIRPORT,014015,-12.42,130.89,r1i1p1,rcp26,CESM1-CAM5,2040-2059,71.58,80.94,73.44,61.60,70.40,78.00,65.20,81.37,83.93,80.77,73.74,65.80,58.28,60.37,66.16,69.36,71.21,70.63,77.36
DUBBO-AIRPORT-AWS,065070,-32.22,148.58,r1i1p1,rcp26,CESM1-CAM5,2040-2059,69.13,58.72,71.49,83.59,62.50,61.38,76.98,57.72,64.26,67.29,67.76,79.42,85.14,87.18,78.05,71.83,58.92,56.27,54.31
EAST-SALE-AIRPORT,085072,-38.12,147.13,r1i1p1,rcp26,CESM1-CAM5,2040-2059,78.20,73.45,83.26,83.43,72.60,76.23,80.16,72.06,79.02,83.44,81.20,85.13,84.94,84.81,80.55,74.66,70.85,72.28,69.43
ESPERANCE,009789,-33.83,121.89,r1i1p1,rcp26,CESM1-CAM5,2040-2059,65.38,57.28,68.55,74.68,61.22,60.17,70.72,55.67,58.87,63.85,68.81,72.98,75.97,75.83,72.24,66.40,60.90,56.36,56.73
GERALDTON-AIRPORT-COMPARISON,008051,-28.8,114.7,r1i1p1,rcp26,CESM1-CAM5,2040-2059,58.78,47.68,57.72,74.51,55.30,49.90,67.76,48.30,47.67,51.91,57.16,64.08,72.16,75.76,75.61,67.20,51.74,46.95,46.78
HOBART-ELLERSLIE-ROAD,094029,-42.89,147.33,r1i1p1,rcp26,CESM1-CAM5,2040-2059,68.29,62.61,71.26,75.77,63.53,64.78,71.84,62.47,65.41,69.13,69.43,75.21,77.58,76.97,72.76,64.89,63.63,62.08,59.88
KALGOORLIE-BOULDER-AIRPORT,012038,-30.78,121.45,r1i1p1,rcp26,CESM1-CAM5,2040-2059,52.65,41.47,59.64,65.91,43.59,45.93,59.22,37.37,47.65,55.56,58.13,64.38,68.09,67.78,61.86,50.80,42.43,37.55,38.87
LAUNCESTON-AIRPORT-COMPARISON,091104,-41.54,147.2,r1i1p1,rcp26,CESM1-CAM5,2040-2059,77.69,68.51,80.33,87.88,74.11,71.54,83.88,68.63,72.75,75.93,77.87,87.18,88.62,89.62,85.39,77.56,74.88,69.90,63.94
LAVERTON-RAAF,087031,-37.86,144.76,r1i1p1,rcp26,CESM1-CAM5,2040-2059,72.68,66.18,76.05,80.62,67.81,68.67,76.65,64.99,69.47,73.96,73.74,80.47,81.72,82.67,77.46,71.17,66.42,65.86,64.28
MACKAY-M.O,033119,-21.12,149.22,r1i1p1,rcp26,CESM1-CAM5,2040-2059,76.38,77.44,80.89,77.65,69.57,76.84,75.95,75.29,83.01,78.04,80.99,83.65,79.59,76.80,76.56,69.03,70.08,69.61,73.89
MEEKATHARRA-AIRPORT,007045,-26.61,118.54,r1i1p1,rcp26,CESM1-CAM5,2040-2059,38.40,28.48,42.36,52.28,30.19,32.30,44.38,25.47,33.27,39.61,42.79,44.68,54.67,54.44,47.74,35.38,29.37,25.83,26.93
MELBOURNE-AIRPORT,086282,-37.68,144.84,r1i1p1,rcp26,CESM1-CAM5,2040-2059,70.91,64.68,74.11,78.16,66.61,67.24,74.54,63.58,68.02,73.04,71.29,78.00,79.78,80.03,74.67,69.56,65.22,65.04,62.70
MILDURA-AIRPORT,076031,-34.23,142.08,r1i1p1,rcp26,CESM1-CAM5,2040-2059,64.28,50.73,69.14,80.60,56.61,55.60,73.00,49.09,56.35,66.10,63.25,78.08,83.20,83.23,75.36,63.66,54.48,51.68,46.90
MOREE-AERO,053115,-29.49,149.85,r1i1p1,rcp26,CESM1-CAM5,2040-2059,60.65,58.16,61.22,70.28,52.81,57.13,64.18,57.82,61.83,59.14,57.06,67.45,73.37,73.30,64.16,57.15,49.66,51.62,55.24
MOUNT-GAMBIER-AERO,026021,-37.75,140.77,r1i1p1,rcp26,CESM1-CAM5,2040-2059,74.37,65.18,77.11,85.32,69.96,68.33,80.47,62.93,68.08,73.12,74.10,84.10,87.14,87.12,81.71,74.07,68.71,67.10,64.32
MOUNT-ISA-AERO,029127,-20.68,139.49,r1i1p1,rcp26,CESM1-CAM5,2040-2059,40.99,49.52,44.53,39.85,29.87,44.50,37.35,48.57,55.03,44.98,40.78,47.83,46.55,40.47,32.54,28.10,28.64,32.86,45.52
NOWRA-RAN-AIR-STATION-AWS,068072,-34.95,150.54,r1i1p1,rcp26,CESM1-CAM5,2040-2059,70.51,73.36,74.57,70.73,63.14,72.83,68.22,72.45,79.51,76.41,71.77,75.53,73.33,72.87,66.00,61.50,59.46,68.23,68.33
PERTH-AIRPORT,009021,-31.93,115.98,r1i1p1,rcp26,CESM1-CAM5,2040-2059,61.94,46.19,63.29,78.70,59.76,51.33,72.70,45.02,46.44,55.68,62.64,71.55,78.78,79.83,77.48,70.41,58.16,50.71,46.63
PORT-HEDLAND-AIRPORT,004032,-20.37,118.63,r1i1p1,rcp26,CESM1-CAM5,2040-2059,40.57,52.85,40.01,35.98,33.56,46.48,34.79,55.24,56.40,48.73,35.83,35.47,38.29,35.73,33.93,32.13,33.17,35.39,46.49
RICHMOND-RAAF,067105,-33.6,150.78,r1i1p1,rcp26,CESM1-CAM5,2040-2059,74.40,74.28,80.70,78.56,64.09,74.90,74.02,73.47,80.14,80.41,78.06,83.63,83.05,80.84,71.78,65.21,59.61,67.46,69.20
ROCKHAMPTON-AERO,039083,-23.38,150.48,r1i1p1,rcp26,CESM1-CAM5,2040-2059,68.60,70.78,71.59,69.46,62.76,69.54,67.80,69.50,74.53,70.57,71.73,72.45,72.00,68.50,67.89,62.45,63.53,62.30,67.77
SYDNEY-AIRPORT-AMO,066037,-33.94,151.17,r1i1p1,rcp26,CESM1-CAM5,2040-2059,68.06,70.75,72.80,67.60,61.03,70.43,65.72,70.02,75.30,73.95,70.84,73.63,70.80,69.04,62.95,59.96,57.97,65.17,67.04
TENNANT-CREEK-AIRPORT,015135,-19.64,134.18,r1i1p1,rcp26,CESM1-CAM5,2040-2059,37.30,47.19,38.59,34.72,28.71,41.33,33.26,46.13,50.83,40.84,34.16,40.76,40.54,35.58,28.04,26.22,28.44,31.48,44.53
TOWNSVILLE-AERO,032040,-19.25,146.77,r1i1p1,rcp26,CESM1-CAM5,2040-2059,65.71,71.18,67.43,63.16,61.02,68.82,62.58,69.44,75.28,67.81,66.92,67.57,64.78,62.96,61.74,57.20,61.20,64.65,68.99
WAGGA-WAGGA-AMO,072150,-35.16,147.46,r1i1p1,rcp26,CESM1-CAM5,2040-2059,68.04,52.63,70.01,83.90,65.49,57.60,78.39,50.67,56.96,63.56,67.02,79.44,85.83,86.30,79.57,75.22,64.01,57.24,50.67
WILLIAMTOWN-RAAF,061078,-32.79,151.84,r1i1p1,rcp26,CESM1-CAM5,2040-2059,73.31,73.41,79.29,75.83,64.71,74.08,72.61,72.29,78.63,79.64,76.69,81.55,79.16,77.33,70.99,65.77,60.87,67.47,69.31
WOOMERA-AERODROME,016001,-31.16,136.81,r1i1p1,rcp26,CESM1-CAM5,2040-2059,50.38,40.07,52.09,66.91,42.42,42.83,58.01,37.73,41.66,48.03,48.00,60.24,69.43,69.47,61.84,46.04,41.01,40.22,40.95
ADELAIDE-KENT-TOWN,023090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2060-2079,62.39,52.68,63.91,75.67,57.27,55.31,69.47,51.51,53.36,59.93,60.17,71.64,79.49,76.92,70.61,61.77,56.41,53.64,53.28
ALBANY-AIRPORT-COMPARISON,009741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2060-2079,73.25,63.67,75.41,82.55,71.42,67.28,79.29,62.91,65.08,68.69,76.92,80.63,84.56,82.87,80.22,77.01,70.44,66.80,62.84
ALICE-SPRINGS-AIRPORT,015590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2060-2079,41.00,35.35,45.98,54.62,28.24,35.18,46.90,32.59,37.74,33.23,44.56,60.14,64.14,55.40,44.34,28.78,28.62,27.30,35.16
AMBERLEY-AMO,040004,-27.63,152.71,r1i1p1,rcp26,CESM1-CAM5,2060-2079,68.36,66.59,73.83,74.23,58.79,66.93,69.82,66.41,69.40,69.92,72.94,78.64,79.53,74.47,68.69,60.54,57.03,58.81,63.93
BRISBANE-AERO,040842,-27.39,153.13,r1i1p1,rcp26,CESM1-CAM5,2060-2079,66.45,66.69,71.71,67.63,59.74,67.18,65.69,66.50,68.88,70.29,71.68,73.17,71.32,67.99,63.58,59.50,58.59,61.13,64.81
BROOME-AIRPORT,003003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2060-2079,54.85,69.58,54.58,42.54,52.70,63.89,45.82,69.78,73.24,66.36,51.66,45.73,42.00,41.54,44.09,48.03,53.56,56.50,65.70
CAIRNS-AERO,031011,-16.87,145.75,r1i1p1,rcp26,CESM1-CAM5,2060-2079,72.95,75.43,77.47,71.90,66.97,75.20,70.73,75.27,78.69,77.05,78.59,76.76,73.97,71.09,70.65,65.96,65.93,69.02,72.44
CANBERRA-AIRPORT-COMPARISON,070014,-35.3,149.2,r1i1p1,rcp26,CESM1-CAM5,2060-2079,73.74,67.26,77.76,82.39,67.43,69.58,77.86,66.34,72.48,73.70,75.92,83.66,86.03,84.71,76.44,71.06,65.28,65.96,63.34
CARNARVON-AIRPORT,006011,-24.89,113.67,r1i1p1,rcp26,CESM1-CAM5,2060-2079,57.36,56.64,57.05,63.24,52.50,55.86,58.86,57.20,57.21,55.41,56.99,58.76,63.46,65.91,60.35,54.14,50.51,52.84,55.51
CEDUNA-AMO,018012,-32.13,133.7,r1i1p1,rcp26,CESM1-CAM5,2060-2079,62.87,58.10,64.89,73.75,54.84,58.61,67.26,55.86,62.57,64.33,60.61,69.71,75.97,74.44,70.85,60.16,52.43,51.92,55.62
CHARLEVILLE-AERO,044021,-26.42,146.25,r1i1p1,rcp26,CESM1-CAM5,2060-2079,49.67,46.26,54.40,59.62,38.25,45.97,53.26,47.94,50.95,47.15,52.40,63.66,66.76,60.50,51.60,38.60,38.45,37.70,40.36
COBAR-MO,048027,-31.49,145.83,r1i1p1,rcp26,CESM1-CAM5,2060-2079,58.38,46.57,64.55,73.69,48.58,50.35,66.42,46.81,50.85,56.41,61.52,75.71,78.98,76.35,65.73,52.70,49.04,44.01,42.41
COFFS-HARBOUR-MO,059040,-30.31,153.12,r1i1p1,rcp26,CESM1-CAM5,2060-2079,67.42,71.50,73.16,65.71,59.35,71.06,63.79,71.42,74.91,75.44,71.53,72.50,70.69,67.15,59.29,55.78,57.35,64.91,68.11
DARWIN-AIRPORT,014015,-12.42,130.89,r1i1p1,rcp26,CESM1-CAM5,2060-2079,70.18,79.88,71.96,59.79,69.12,76.97,63.41,80.86,82.58,80.37,72.26,63.24,56.28,60.04,63.06,67.44,70.39,69.54,76.06
DUBBO-AIRPORT-AWS,065070,-32.22,148.58,r1i1p1,rcp26,CESM1-CAM5,2060-2079,71.86,62.34,74.93,85.76,64.16,64.30,79.51,62.88,67.73,67.68,72.43,84.70,88.44,88.09,80.35,71.20,63.03,57.94,56.64
EAST-SALE-AIRPORT,085072,-38.12,147.13,r1i1p1,rcp26,CESM1-CAM5,2060-2079,77.60,72.13,82.83,83.15,72.22,75.19,79.99,71.28,77.42,82.47,80.78,85.25,84.88,84.66,79.90,75.00,70.27,71.40,67.85
ESPERANCE,009789,-33.83,121.89,r1i1p1,rcp26,CESM1-CAM5,2060-2079,64.86,57.81,66.72,73.68,61.42,59.63,70.21,55.73,59.58,60.02,67.44,72.69,74.24,74.89,71.90,67.63,59.90,56.72,57.53
GERALDTON-AIRPORT-COMPARISON,008051,-28.8,114.7,r1i1p1,rcp26,CESM1-CAM5,2060-2079,58.67,47.58,57.41,74.13,55.64,49.40,68.03,47.61,48.21,49.71,57.16,65.35,71.87,75.15,75.37,68.29,52.17,46.46,46.65
HOBART-ELLERSLIE-ROAD,094029,-42.89,147.33,r1i1p1,rcp26,CESM1-CAM5,2060-2079,68.17,61.92,71.59,75.67,63.50,64.41,71.96,61.92,64.18,69.26,69.78,75.74,78.23,77.03,71.76,65.48,63.54,61.47,59.59
KALGOORLIE-BOULDER-AIRPORT,012038,-30.78,121.45,r1i1p1,rcp26,CESM1-CAM5,2060-2079,51.70,42.63,55.80,64.77,43.65,44.71,58.57,38.90,46.97,45.08,55.58,65.42,66.68,66.93,60.71,50.45,41.20,39.29,41.52
LAUNCESTON-AIRPORT-COMPARISON,091104,-41.54,147.2,r1i1p1,rcp26,CESM1-CAM5,2060-2079,77.53,67.47,80.63,87.95,74.15,71.04,84.06,67.40,70.82,75.90,78.35,87.65,89.46,89.59,84.81,77.72,75.15,69.56,63.99
LAVERTON-RAAF,087031,-37.86,144.76,r1i1p1,rcp26,CESM1-CAM5,2060-2079,71.86,64.53,75.04,80.47,67.32,67.15,76.52,63.75,67.65,72.10,72.22,80.81,81.95,82.16,77.31,71.21,65.69,65.05,62.38
MACKAY-M.O,033119,-21.12,149.22,r1i1p1,rcp26,CESM1-CAM5,2060-2079,76.21,77.21,81.96,77.55,68.16,76.92,75.53,78.35,79.91,79.17,83.10,83.60,79.55,75.91,77.18,68.58,68.34,67.57,73.25
MEEKATHARRA-AIRPORT,007045,-26.61,118.54,r1i1p1,rcp26,CESM1-CAM5,2060-2079,38.00,29.57,40.33,51.91,29.89,31.37,44.49,26.88,33.23,30.77,41.97,48.27,54.50,54.95,46.29,35.05,27.88,26.75,28.89
MELBOURNE-AIRPORT,086282,-37.68,144.84,r1i1p1,rcp26,CESM1-CAM5,2060-2079,70.16,63.12,73.10,78.19,66.16,65.75,74.53,62.51,66.42,70.99,69.85,78.48,80.19,79.67,74.69,69.52,64.63,64.31,60.67
